Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Joshua Dobbs,ARI,28,QB,4,4,24,141,1,11,54.2,44,5.9,35.3,4
Daniel Jones,NYG,26,QB,3,3,24,107,1,9,50.0,15,4.5,35.7,2
Trevor Lawrence,JAX,24,QB,4,4,23,101,0,7,39.1,22,4.4,25.3,3
Patrick Mahomes,KAN,28,QB,4,4,23,154,0,12,60.9,25,6.7,38.5,1
Baker Mayfield,TAM,28,QB,4,4,23,61,0,4,39.1,10,2.7,15.3,1
Anthony Richardson,IND,21,QB,3,3,23,131,4,8,65.2,23,5.7,43.7,2
Justice Hill,BAL,26,RB,3,1,22,83,2,6,50.0,15,3.8,27.7,0
Roschon Johnson,CHI,22,RB,4,0,22,103,1,5,45.5,29,4.7,25.8,0
Tony Jones,NOR,26,RB,4,1,21,70,2,6,47.6,19,3.3,17.5,0
Rico Dowdle,DAL,25,RB,4,0,20,80,0,4,65.0,10,4.0,20.0,0
Justin Herbert,LAC,25,QB,4,4,20,55,3,8,40.0,15,2.8,13.8,1
Taysom Hill,NOR,33,QB,4,2,20,101,0,6,65.0,19,5.1,25.3,0
Tyjae Spears,TEN,22,RB,4,0,20,122,0,7,65.0,22,6.1,30.5,0
Damien Harris,BUF,26,RB,4,0,19,80,1,7,57.9,11,4.2,20.0,0
Samaje Perine,DEN,28,RB,4,0,18,66,0,4,33.3,12,3.7,16.5,0
Latavius Murray,BUF,33,RB,4,0,17,77,2,6,52.9,29,4.5,19.3,0
Deuce Vaughn,DAL,22,RB,4,0,17,33,0,1,11.8,13,1.9,8.3,0
Josh Allen,BUF,27,QB,4,4,16,106,2,9,68.8,23,6.6,26.5,2
Zach Charbonnet,SEA,22,RB,3,0,16,73,0,7,62.5,12,4.6,24.3,0
Austin Ekeler,LAC,28,RB,1,1,16,117,1,4,75.0,55,7.3,117.0,0
Jordan Love,GNB,25,QB,4,4,16,72,2,5,43.8,24,4.5,18.0,2
Elijah Mitchell,SFO,25,RB,2,0,16,52,0,2,25.0,18,3.3,26.0,0
Sean Tucker,TAM,22,RB,4,0,15,23,0,1,26.7,7,1.5,5.8,0
Deshaun Watson,CLE,28,QB,3,3,15,83,1,7,66.7,13,5.5,27.7,4
Aaron Jones,GNB,29,RB,2,2,14,59,1,3,71.4,9,4.2,29.5,0
Mac Jones,NWE,25,QB,4,4,14,60,0,7,64.3,18,4.3,15.0,1
